Text,Label
ALONE SHE   FLED  ,hawthorne
HER   OLD   PLACE ,hawthorne
HAPPY ARE   THE   ,plato
ILY   SHE   ADDED ,tolstoy
POWER WHICH DOES  ,aquinas
THEY  ARE   UNCLE ,hawthorne
MUST  RECKONTHE   ,aquinas
LAWS  ABOUT GODS  ,plato
YOU   SHOW  HIM   ,plato
AND   TSZ   CHAN  ,confucius
GREAT ASPECTWHOSE ,shakespeare
THAT  THE   FLOOR ,hawthorne
HEAVENCLEARSTHY   ,shakespeare
LOOK  SIR   HERE  ,shakespeare
YEARS AGO   THE   ,hawthorne
OWN   BREASTNONE  ,hawthorne
THE   CRIME ARE   ,plato
SIRE  HIS   MOTHER,hawthorne
HEARD THIS  FROM  ,confucius
THIS  MAN   HAVE  ,confucius
MEET  BUT   WITH  ,plato
SEEMS THAT  DEATH ,aquinas
TRIAL AND   YET   ,hawthorne
REPLY OBJ   BOTH  ,aquinas
FROM  ADAM  THAT  ,aquinas
OFF   LEAR  WHEN  ,shakespeare
THANK HEAVENTHE   ,hawthorne
LADIESARE   CUT   ,tolstoy
DEI   THAT  VIRTUE,aquinas
THEE  SHALL DIE   ,aquinas
THE   SAME  UNION ,tolstoy
FOR   HER   PTYA  ,tolstoy
HAVE  ALWAYSTHANK ,tolstoy
THOSE THAT  LABOR ,aquinas
MEN   WITH  ALL   ,confucius
TRUE  ROMEO DEAD  ,shakespeare
PAUSERREASONHERE  ,shakespeare
INDEEDBUT   ONLY  ,hawthorne
AND   ALL   ELSE  ,aquinas
WHERE THE   BARN  ,tolstoy
DOWERDWITH  OUR   ,shakespeare
AND   BRING UPON  ,plato
SORTS ARE   THE   ,plato
FEARS AND   SPOKE ,hawthorne
BUT   WHICH OUR   ,hawthorne
PLEASEORDER SOME  ,tolstoy
FOR   THAT  PLACE ,aquinas
THE   PAINS AND   ,plato
THAT  COMELYHESTER,hawthorne
PLATO AND   THAT  ,plato
AND   FINES AND   ,confucius
LAD   PARE  THY   ,shakespeare
WILL  CHANGEYOUR  ,tolstoy
SMALL THANKSWERE  ,hawthorne
THE   GARDENPEACH ,confucius
FOUND THE   LOW   ,hawthorne
ONCE  WOULD FEEL  ,confucius
WHICH INDEEDSHE   ,hawthorne
TIMES WHEN  THE   ,plato
MIND  BUT   SOON  ,confucius
RENOWNAND   GRACE ,shakespeare
YOURS SHE   SAID  ,tolstoy
THE   GREAT FINAL ,hawthorne
EVEN  FOR   THEIR ,tolstoy
BEEN  FREE  FROM  ,plato
THAT  MAN   WHO   ,aquinas
INTO  HIS   KINDLY,tolstoy
THE   DIVINEMASTER,aquinas
DRAW  SOME  GOOD  ,aquinas
THE   TRUTH SUCH  ,confucius
YEARS NOR   DOES  ,plato
MANY  AND   VARIED,confucius
COLONYHAD   AND   ,plato
THE   PRIESTWHILE ,aquinas
ABOVE THEY  HAVE  ,confucius
MAKE  THIS  KNOWN ,aquinas
HIM   UNLESSTHE   ,aquinas
HIS   PEOPLETHE   ,aquinas
CASE  AND   HAND  ,plato
HSIEH CHAP  TSZE  ,confucius
AND   ELFISHCHILD ,hawthorne
THIS  LASTEDABOUT ,tolstoy
AND   STEP  AND   ,tolstoy
TSZE  CHANG THEN  ,confucius
WELL  DRIVE OVER  ,tolstoy
KNOW  WHOSE BROW  ,hawthorne
YEN   YAN   DIED  ,confucius
SMALL ONES  AND   ,plato
MAN   MUST  INSULT,confucius
MOVED TOWARDTHE   ,tolstoy
MIGHT HAVE  MET   ,shakespeare
FALLENBUT   CHRIST,aquinas
OER   READ  AND   ,shakespeare
SAID  WHAT  HAS   ,confucius
BUT   TWO   OBJ   ,aquinas
AND   MORE  HEROIC,hawthorne
HOW   THEN  MAY   ,plato
WAS   ANY   MARK  ,hawthorne
HEAVENALAS  THAT  ,confucius
THE   WEIGHTUNTIL ,hawthorne
HERE  MOT   DORDRE,tolstoy
THE   MASTERDID   ,confucius
OLD   POLE  AND   ,tolstoy
AFFECTTHE   SOUL  ,aquinas
THOU  JUSTLYSEEMST,shakespeare
MASTERWHO   DOES  ,confucius
SAYS  THE   BOOK  ,confucius
ONCE  OUR   WORK  ,confucius
OTHER MEN   CHAP  ,confucius
SAME  OLD   CARD  ,tolstoy
AND   PEACE THE   ,aquinas
ONE   ROSTV FELT  ,tolstoy
EVIL  MORAL HABITS,aquinas
ILL   TELL  DOLLY ,tolstoy
THINK THAT  LOVE  ,plato
WAS   NOT   FREED ,aquinas
YOU   AND   ASCEND,aquinas
DEATH MARKD LOVE  ,shakespeare
WHEN  CHIU  ASKED ,confucius
LAST  PRINCEWHOM  ,confucius
HAPPY SHE   WAS   ,tolstoy
RISES LIKE  THE   ,shakespeare
AND   MALICESINCE ,aquinas
MERELYBECOMEMORE  ,tolstoy
DID   NOT   SHIFT ,tolstoy
COLD  LOOKS AND   ,shakespeare
NEVER FALL  ASLEEP,hawthorne
MAN   HATES YOUR  ,confucius
VIEW  WITH  THE   ,hawthorne
COMMONGOOD  SHOULD,aquinas
HER   SOUL  ITS   ,hawthorne
SEE   FAIR  PORTIA,shakespeare
VICTIMYOU   HATE  ,hawthorne
ARE   THOU  HAST  ,shakespeare
WITH  THE   SEVERE,hawthorne
FLABBYITS   LACK  ,tolstoy
THEIR SKILL FAILS ,plato
ALL   WHOM  THOU  ,aquinas
THEIR RIGHTSAND   ,shakespeare
YOU   FAIR  DAME  ,shakespeare
THAT  BEFORETHEY  ,aquinas
SHOWN ABOVE BUT   ,aquinas
MOTHERHOW   MANY  ,hawthorne
WHO   TAKE  UPON  ,hawthorne
THEM  SAGE  HOW   ,confucius
ARE   NOT   PEOPLE,tolstoy
THOU  SHALT SIT   ,hawthorne
DOES  NOT   VOTE  ,plato
LOOKEDTHE   FOREST,hawthorne
HEAVENWHAT  CRIMES,confucius
AGE   BUT   THE   ,confucius
CHAP  XXI   TSZE  ,confucius
ARE   MADE  LIKE  ,aquinas
HOURS LATER THE   ,tolstoy
TOWARDZNAIM WHICH ,tolstoy
WHERE THE   KEEN  ,confucius
WHICH HAD   LOST  ,tolstoy
FRUITSTHEY  BEAR  ,confucius
THAT  WHICH PASSES,aquinas
THE   BREAD PASSES,aquinas
ARTS  AND   WHEN  ,plato
LIKE  CHINA WHERE ,confucius
AND   THUS  SHOULD,confucius
MANY  SONS  AND   ,plato
DEEP  SIGH  SHE   ,hawthorne
CAUSEDTHE   SUN   ,aquinas
SAVE  THE   KING  ,shakespeare
WHEN  HIS   DESIRE,confucius
WHICH COMES THE   ,aquinas
THE   MAKER BUT   ,aquinas
THY   GOOD  SPIRIT,aquinas
